=== FINAL EPOCH EVALUATION RESULTS ===
SNR (dB):             15
Input Type:           ls
Loss Type:            combined
Standardize:          True
Best Training Epoch:  200

--- TRAIN SET METRICS ---
LI Benchmark MMSE:    1.000796e-20
HA02 Output MMSE:     1.766661e-22
LMMSE Baseline MMSE:  1.110353e-20
LI Benchmark NMSE:    3.983769e-02 (-14.00 dB)
HA02 Output NMSE:     7.032375e-04 (-31.53 dB)
LMMSE Baseline NMSE:  4.419872e-02 (-13.55 dB)
LI Benchmark SSIM:    0.6083
HA02 Output SSIM:     0.9878
LMMSE Baseline SSIM:  0.8294

--- VALIDATION SET METRICS ---
LI Benchmark MMSE:    1.069963e-20
HA02 Output MMSE:     1.612130e-21
LMMSE Baseline MMSE:  1.212237e-20
LI Benchmark NMSE:    3.977203e-02 (-14.00 dB)
HA02 Output NMSE:     5.992513e-03 (-22.22 dB)
LMMSE Baseline NMSE:  4.506053e-02 (-13.46 dB)
LI Benchmark SSIM:    0.6069
HA02 Output SSIM:     0.9394
LMMSE Baseline SSIM:  0.8125

--- TEST SET METRICS ---
LI Benchmark MMSE:    9.643545e-21
HA02 Output MMSE:     1.554649e-21
LMMSE Baseline MMSE:  9.418208e-21
LI Benchmark NMSE:    3.670264e-02 (-14.35 dB)
HA02 Output NMSE:     5.916882e-03 (-22.28 dB)
LMMSE Baseline NMSE:  3.584502e-02 (-14.46 dB)
LI Benchmark SSIM:    0.6058
HA02 Output SSIM:     0.9457
LMMSE Baseline SSIM:  0.8313
